Date,Open,High,Low,Close,Adj Close,Volume
2004/8/24,101.330002,101.57,100.730003,101.220001,66.306625,3746000
2004/8/25,101.199997,102.160004,100.790001,101.879997,66.738922,6232300
2004/8/26,101.849998,102.080002,101.68,101.870003,66.732399,4238800
2004/8/27,101.910004,102.25,101.720001,102.160004,66.922401,2971100
2004/8/30,101.940002,102.089996,101.309998,101.410004,66.431068,4482800
2004/8/31,101.449997,101.910004,100.900002,101.889999,66.745552,5158700
2004/9/1,101.739998,102.260002,101.220001,101.879997,66.738922,4624300
2004/9/2,101.849998,103.239998,101.82,103.040001,67.498848,4906000
2004/9/3,103,103.389999,102.809998,102.860001,67.38089,5160900
2004/9/7,103.25,103.82,103.120003,103.639999,67.89193,4500100
2004/9/8,103.449997,103.769997,103.220001,103.489998,67.793663,5085900
2004/9/9,103.370003,103.57,102.870003,103,67.472656,5990800
2004/9/10,103,103.379997,102.559998,103.230003,67.623337,3670200
2004/9/13,103.459999,103.720001,103.18,103.5,67.800194,4570500
2004/9/14,103.360001,103.629997,103.25,103.5,67.800194,3690100
2004/9/15,103.150002,103.199997,102.519997,102.540001,67.17131,6374500
2004/9/16,102.669998,103.099998,102.580002,102.75,67.308899,5572200
2004/9/17,102.870003,103.300003,102.690002,103.010002,67.551498,4894400
2004/9/20,102.559998,102.699997,102.010002,102.150002,66.987534,6733300
2004/9/21,102.389999,102.879997,102.139999,102.370003,67.131874,6604900
2004/9/22,101.959999,102,101.080002,101.099998,66.298965,8852700
2004/9/23,101.18,101.220001,100.400002,100.449997,65.872704,7438900
2004/9/24,100.489998,100.940002,100.489998,100.720001,66.049797,5528200
2004/9/27,100.379997,100.580002,100,100.160004,65.682579,5243000
2004/9/28,100.25,101.150002,99.910004,100.889999,66.161247,8556800
2004/9/29,100.769997,101.489998,100.620003,101.470001,66.541656,7240800
2004/9/30,100.720001,101.07,100.550003,100.870003,66.148163,6375100
2004/10/1,101.339996,102.190002,101.220001,102.160004,66.994118,7370500
2004/10/4,102.650002,102.879997,102.260002,102.309998,67.092453,5422400
2004/10/5,102.32,102.370003,101.730003,102.040001,66.915428,5210500
2004/10/6,101.910004,102.650002,101.790001,102.639999,67.308891,5244700
2004/10/7,102.410004,102.43,101.43,101.440002,66.52198,6821900
2004/10/8,101.199997,101.730003,100.589996,100.699997,66.036644,7265900
2004/10/11,100.959999,101.25,100.910004,101.139999,66.325211,3549500
2004/10/12,100.599998,101.25,100.360001,101.050003,66.266144,5207100
2004/10/13,101.43,101.470001,99.769997,100.080002,65.630142,7916000
2004/10/14,100.139999,100.239998,99,99.18,65.039909,8125100
2004/10/15,99.419998,99.949997,99.07,99.470001,65.23008,7489800
2004/10/18,99.040001,99.800003,98.75,99.629997,65.391579,9897800
2004/10/19,99.980003,100.370003,99.019997,99.099998,65.043633,9483600
2004/10/20,98.919998,99.089996,98.199997,98.889999,64.905823,9636600
2004/10/21,98.989998,99.25,98.199997,98.940002,64.938675,12984900
2004/10/22,98.940002,99.040001,97.669998,97.760002,64.164207,10885700
2004/10/25,97.519997,97.970001,97.269997,97.68,64.111702,8935700
2004/10/26,97.959999,99.099998,97.669998,99.080002,65.03051,8281200
2004/10/27,98.949997,100.370003,98.620003,100.139999,65.72625,10346700
2004/10/28,100.019997,100.650002,99.730003,100.269997,65.8116,7890500
2004/10/29,100.120003,100.639999,100.089996,100.379997,65.883789,5304700
2004/11/1,100.489998,100.970001,100.300003,100.709999,66.100403,6267300
2004/11/2,100.790001,101.529999,100.290001,100.529999,65.982254,7390000
2004/11/3,101.93,102.370003,101.139999,101.709999,66.756683,10058100
2004/11/4,101.57,103.449997,101.5,103.32,67.813454,9474700
2004/11/5,103.709999,104.43,103.5,104.220001,68.404175,8309800
2004/11/8,104.029999,104.330002,103.82,104.290001,68.450111,5256900
2004/11/9,104.18,104.580002,103.970001,104.209999,68.397552,6609300
2004/11/10,104.269997,104.809998,104.150002,104.389999,68.515709,5466600
2004/11/11,104.489998,105.260002,104.419998,105.089996,68.975136,4604100
2004/11/12,105.190002,105.760002,105,105.650002,69.34272,4875200
2004/11/15,105.540001,105.839996,105.400002,105.730003,69.540703,4601700
2004/11/16,105.43,105.470001,104.940002,105.129997,69.146095,8043800
2004/11/17,105.620003,106.260002,105.349998,105.900002,69.652473,6900900
2004/11/18,105.919998,106.099998,105.730003,106,69.718216,4714100
2004/11/19,105.660004,105.699997,104.290001,104.57,68.996452,6968500
2004/11/22,104.370003,105,104.230003,104.800003,69.14817,8335900
2004/11/23,104.830002,105.029999,104.260002,104.989998,69.273552,7527500
2004/11/24,105.019997,105.150002,104.709999,105.029999,69.299988,6210400
2004/11/26,105.089996,105.349998,104.900002,104.919998,69.227402,1807300
2004/11/29,105.370003,105.510002,104.019997,104.470001,68.930504,9181300
2004/11/30,104.599998,104.760002,104.190002,104.330002,68.838142,7401100
2004/12/1,104.629997,105.860001,104.57,105.669998,69.722237,8612600
2004/12/2,105.449997,106.269997,105.360001,105.839996,69.834381,8250700
2004/12/3,105.660004,106.389999,105.559998,105.690002,69.735428,7206400
2004/12/6,105.68,105.730003,105.239998,105.349998,69.511101,3494200
2004/12/7,105.470001,105.629997,104.370003,104.410004,68.890915,7572700
2004/12/8,104.57,105.059998,104.419998,105.010002,69.286766,7090100
2004/12/9,104.529999,105.599998,104.160004,105.379997,69.530922,8913400
2004/12/10,105.190002,105.75,105.110001,105.5,69.610085,5999500
2004/12/13,105.900002,106.459999,105.529999,106.449997,70.236877,7457100
2004/12/14,106.239998,106.949997,106.199997,106.760002,70.441414,5822400
2004/12/15,106.620003,107.059998,106.349998,106.849998,70.500816,9270700
2004/12/16,106.830002,107.290001,106.620003,107.160004,70.705376,8572800
2004/12/17,106.360001,106.980003,106.220001,106.529999,70.398087,8222200
2004/12/20,106.760002,107.150002,106.349998,106.620003,70.457558,6136000
2004/12/21,106.75,107.470001,106.610001,107.419998,70.986244,8002500
2004/12/22,107.360001,108.129997,107.300003,108.010002,71.376091,6666000
2004/12/23,108.120003,108.550003,108.029999,108.150002,71.468681,3318100
